,pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,Label
35,HALLMARK_NOTCH_SIGNALING,0.003275109,0.006823144,0.690319437,1.764483372,23,32,"Prkca, Notch1, St3gal6, Tcf7l2, Arrb1, Ccnd1, Maml2, Lfng, Psenen, Jag1, Ppard, Dtx4, Aph1a, Dll1",Sox2+
36,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.000208398,0.000664328,0.577424734,1.808924227,1,192,"Cpt1a, Atp1b1, Mpc1, Glud1, Atp6ap1, Uqcrb, Etfb, Atp6v0e, Oat, Nqo2, Hadha, Ndufs8, Mtx2, Atp6v0b, Hccs, Ndufs7, Cox6b1, Ndufs6, Cox6a1, Sdha, Aldh6a1, Slc25a12, Uqcrc2, Tcirg1, Polr2f, Ndufa3, Casp7, Aco2, Cyb5a, Uqcrc1, Slc25a4, Ndufv2, Ndufb7, Slc25a5, Ldha, Ldhb, Gpi1, Cox6c, Cox8a, Mfn2, Sdhb, Cox4i1, Atp5pd, Atp5f1b, Idh3b, Atp6v1d, Ndufc2, Ndufa8, Cyc1, Uqcr10, Idh3a, Mrps11, Hsd17b10, Uqcrq, Fh1, Atp5f1d, Grpel1, Slc25a3, Mtrr, Ndufa2, Ech1, Hadhb, Uqcrfs1, Cs, Etfa, Slc25a11, Prdx3, Phb2, Ndufs4, Idh1, Vdac2, Vdac3, Oxa1l, Atp5f1e, Sdhc, Acadm, Idh3g, Got2, Cox11, Atp5f1c, Dlst, Abcb7, Mdh2, Iscu, Atp5me, Acaa1a, Cyb5r3, Cox10, Echs1, Ndufv1, Ndufs2, Cox5a, Ndufb6, Ndufa7, Fxn, Etfdh, Atp6v0c, Sdhd, Ogdh",Sox2+
37,HALLMARK_P53_PATHWAY,0.021258944,0.035431574,0.441693538,1.387069897,204,199,"Gm2a, Abhd4, Cd81, Ptpre, Traf4, Tgfa, Tcn2, Tm7sf3, Cdh13, Notch1, Plk2, Fos, S100a10, Ier3, Sat1, Ccng1, Ephx1, Cyfip2, Zfp36l1, Cdkn1a, Ctsd, Stom, Hmox1, Ccnd3, Ptpn14, Ei24, Vwa5a, Slc7a11, Hbegf",Sox2+
38,HALLMARK_PANCREAS_BETA_CELLS,0.015245159,0.026284756,-0.459400082,-1.577839036,36,39,"Neurod1, Pax6, Stxbp1, Syt13, Dcx, Abcc8, Gcg",Sox2+
39,HALLMARK_PEROXISOME,0.027250391,0.042767897,0.483055333,1.442250523,243,103,"Atxn1, Elovl5, Aldh1a1, Acox1, Dhcr24, Fads1, Hsd17b11, Gstk1, Eci2, Aldh9a1, Ide, Fdps, Slc23a2, Cat, Acsl5, Isoc1, Slc35b2, Crat, Abcd3, Idi1, Rdh11, Slc25a4, Prdx5, Sod1, Top2a, Nudt19, Abcd1, Prdx1, Pex11a, Ech1, Hsd3b7, Hsd17b4, Ercc3, Hmgcl, Sod2, Pex11b, Idh1, Scp2",Sox2+
40,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.134909131,0.182309637,0.42036308,1.257082676,1209,105,"Itpr2, Tnfrsf1a, Arhgdia, Dusp3, Slc2a1, Cdkn1a, Hsp90b1, Calr, Rac1, Myd88, Cltc, Prkag1, Prkar2a, Ralb, Adcy2, Them4, Ywhab, Pten, Nfkbib, Pfn1, Sqstm1, Cdk1, Ppp1ca, Ripk1, Pak4, Ppp2r1b, Tsc2, Pin1, Ddit3, Mapk9, Rit1, Ap2m1, Mapk10, Vav3, Cfl1, Irak4, Actr3, Pla2g12a, Ptpn11",Sox2+
41,HALLMARK_PROTEIN_SECRETION,0.006908267,0.013285129,0.534157342,1.579569086,60,94,"Ppt1, Cav2, Vamp3, Lamp2, Rab9, Abca1, Tmed10, Snap23, Galc, Yipf6, Scamp3, Stx7, Cltc, Pam, Ergic3, Cln5, Stx12, Rab5a, Scrn1, Gbf1, Rab2a, Rab14, Rer1, Sgms1, Sod1, Atp1a1, Tmx1, Ap2s1, Ctsc, Ocrl, Arcn1, Gosr2, Ica1, Ap2m1, Dst, M6pr",Sox2+
42,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.152258714,0.200340413,0.471304044,1.282373133,1209,48,"Prnp, Sbno2, Mbp, Gpx3, Cat, Glrx, Pfkp, Hmox2, Junb, Ptpa, Sod1, Gclm, Prdx6, Prdx1",Sox2+
43,HALLMARK_SPERMATOGENESIS,0.550607287,0.585752433,-0.223089968,-0.968007326,407,134,"Dcc, Clvs1, Camk4, Adcyap1, Mllt10, Braf, Tuba3a, Cftr, Sirt1, Acrbp, Tsn, Ace, Tnp2, Hba-x, Zc2hc1c, Ezh2, Dmrt1, Strbp, Ybx2, Tekt2, Chrm4, Znrf4, Il12rb2, Mtnr1a, Naa11, Ldhc, Grm8, Sycp1, Rpl39l, Actl7b, Parp2, She, Gsg1, Acrv1, H1f6, Gmcl1, Nek2",Sox2+
44,HALLMARK_TGF_BETA_SIGNALING,0.539246175,0.585752433,0.346909322,0.954662375,4334,53,"Rab31, Rhoa, Tjp1, Smad3, Id3, Junb, Acvr1, Hipk2, Ppp1ca",Sox2+
45,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.000207663,0.000664328,0.584155271,1.832150114,1,196,"Plpp3, F3, Tnc, Ptpre, Pde4b, Phlda1, Nr4a1, Bhlhe40, Il6st, Csf1, Plk2, Cxcl10, Klf6, Sgk1, Fos, Bcl6, Pdlim5, Trib1, Ier3, Tubb2a, Irs2, Sat1, Tnfaip6, Abca1, Egr1, Vegfa, Dennd5a, Ccnd1, Gfpt2, Cdkn1a, Il18, Jag1, Fjx1, Bcl3, Ackr3, Rigi, Ifit2, Cd83, Sdc4, Ccn1, Nr4a3, Hbegf, Smad3, Rel, Dusp1, Myc, Tank, Cebpd, Nfat5, Junb, Icam1, Zfp36, Rela, Ripk2, Sqstm1, Il15ra, Cd44, Rcan1",Sox2+
46,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.45927652,0.510307245,0.337839761,1.014534186,4138,110,"Tubb2a, Arxes2, Vegfa, Ssr1, Slc1a4, Hsp90b1, Calr, Iars1, Bag3, Slc30a5, Psat1, Xpot, Preb, Yif1a, Xbp1, Wfs1, Kdelr3, Gosr2, Asns, Dnaja4, Atp6v0d1",Sox2+
47,HALLMARK_UV_RESPONSE_DN,0.000322027,0.000894518,0.573540479,1.764170171,2,143,"Plpp3, F3, Ddah1, Pmp22, Mmp16, Dab2, Atxn1, Cav1, Bhlhe40, Prkca, Fyn, Cap2, Mt1, Syne1, Pdlim5, Ptprm, Kcnma1, Atp2b4, Gja1, Sipa1l1, Kit, Arhgef9, Sri, Sdc2, Magi2, Dmac2l, Add3, Lamc1, Mgll, Vldlr, Tjp1, Ccn1, Apbb2, Atrn, Nek7, Smad3, Dusp1, Nr3c1, Has2, Myc, Col11a1",Sox2+
